,Zone_Name,Mandal_Name,To_GP,Span_ID,Chainage_From,Chainage_To,Length,Offset,Depth,Trench_Side,Duct_Laid,Method_Execution,Crossing,Strata_Type,Protect_Dwc,Protect_Gi,Protect_Rcc,Protect_Pcc,Rcc_Chamber,Rcc_Marker,Remark
0,,,,,0,10,10,2.5,1.25,RHS,10,OT,,HARD,,,,,1,1,MH1 & RI @ 0
1,,,,,10,20,10,2.5,1.1,RHS,10,OT,,HARD,10,,,,,,
2,,,,,20,30,10,2.6,1.1,RHS,10,OT,,HARD,10,,,,,,
3,,,,,30,40,10,2.7,1.1,RHS,10,OT,,HARD,10,,,,,,
4,,,,,40,50,10,2.6,1.2,RHS,10,OT,,HARD,10,,,,,,
5,,,,,50,60,10,2.7,1.2,RHS,10,OT,,HARD,10,,,,,,
6,,,,,60,70,10,2.8,1.25,RHS,10,OT,,HARD,,,,,,,
7,,,,,70,80,10,2.7,1.25,RHS,10,OT,,HARD,,,,,,,
8,,,,,80,83,3,2.7,1.25,RHS,3,OT,,HARD,,,,,,,CP @ 83
9,,,,,83,93,10,2.8,1.1,RHS,10,OT,,HARD,10,,,,,,
10,,,,,93,100,7,2.7,1.1,RHS,7,OT,,HARD,7,,,,,,
11,,,,,100,110,10,2.6,1.1,RHS,10,OT,,HARD,10,,,,,,
12,,,,,110,120,10,2.6,1.1,RHS,10,OT,,HARD,10,,,,,,
13,,,,,120,130,10,2.1,1.1,RHS,10,OT,,HARD,10,,,,,,
14,,,,,130,140,10,2.6,1.22,RHS,10,OT,,HARD,,,,,,,
15,,,,,140,150,10,2.6,1.22,RHS,10,OT,,HARD,,,,,,,
16,,,,,150,160,10,2.6,1.22,RHS,10,OT,,HARD,,,,,,,AT CH:158 CP
17,,,,,160,170,10,2.6,1.22,RHS,10,OT,,HARD,,,,,,,
18,,,,,170,180,10,2.6,1.22,RHS,10,OT,,HARD,,,,,,,
19,,,,,180,190,10,2.6,1.22,RHS,10,OT,,HARD,,,,,,,
20,,,,,190,200,10,2.6,1.22,RHS,10,OT,,HARD,,,,,,,
21,,,,,200,210,10,2.5,1.1,RHS,10,OT,,HARD,10,,,,,,
22,,,,,210,220,10,2.5,1.1,RHS,10,OT,,HARD,10,,,,,,
23,,,,,220,230,10,2.6,1.1,RHS,10,OT,,HARD,10,,,,,,
24,,,,,230,236,6,2.2,1.1,RHS,6,OT,,HARD,6,,,,,,
25,,,,,236,242,6,2.2,1,RHS,6,OT,,HARD,6,,,,,,
26,,,,,242,250,8,2.5,1,RHS,8,OT,,HARD,8,,,,,,
27,,,,,250,260,10,2.4,1,RHS,10,OT,,HARD,10,,,,,,
28,,,,,260,270,10,2.5,1,RHS,10,OT,,HARD,10,,,,,,
29,,,,,270,280,10,2.44,1,RHS,10,OT,,HARD,10,,,,,,AT CH:272 CP / Road Extension
30,,,,,280,283,3,2.4,0.9,RHS,3,OT,Extension,HARD,,3,,,,,Road
31,,,,,283,289,6,2.4,0.8,RHS,6,OT,Road,HARD,,6,,,,,CP @ 289 / Road Extension
32,,,,,289,292,3,2.5,0.8,RHS,3,OT,Extension,HARD,,3,,,,,
33,,,,,292,298,6,2.5,0.8,RHS,2,OT,,HARD,6,,,,,,
34,,,,,298,308,10,2.5,0.8,RHS,14,OT,,HARD,10,,,,,,CP @ 308
35,,,,,308,310,2,2.5,1.4,LHS,2,OT,,NORMAL,,,,,,,
36,,,,,310,320,10,2,1.42,LHS,10,OT,,NORMAL,,,,,,,
37,,,,,320,330,10,2.2,1.42,LHS,10,OT,,NORMAL,,,,,,,
38,,,,,330,340,10,2.2,1.42,LHS,10,OT,,NORMAL,,,,,,,
39,,,,,340,350,10,2.2,1.42,LHS,10,OT,,NORMAL,,,,,,,
40,,,,,350,360,10,2.1,1.42,LHS,10,OT,,NORMAL,,,,,,,
41,,,,,360,370,10,2.3,1.45,LHS,10,OT,,NORMAL,,,,,,,AT CH:362 CP
42,,,,,370,380,10,2.2,1.45,LHS,10,OT,,NORMAL,,,,,,,
43,,,,,380,390,10,2.2,1.42,LHS,10,OT,,NORMAL,,,,,,,
44,,,,,390,400,10,2.4,1.45,LHS,10,OT,,NORMAL,,,,,,,
45,,,,,400,410,10,3.5,1.25,LHS,10,OT,,HARD,,,,,,,
46,,,,,410,420,10,3.5,1.22,LHS,10,OT,,HARD,,,,,,,
47,,,,,420,430,10,3.5,1.25,LHS,10,OT,,HARD,,,,,,,
48,,,,,430,440,10,3.5,1.25,LHS,10,OT,,HARD,,,,,,,
49,,,,,440,450,10,3.5,1.3,LHS,10,OT,,HARD,,,,,,,
50,,,,,450,460,10,4.5,1.25,LHS,10,OT,,HARD,,,,,,,
51,,,,,460,470,10,4.6,1.45,LHS,10,OT,,NORMAL,,,,,,,
52,,,,,470,480,10,4.6,1.2,LHS,10,OT,,HARD,10,,,,,,
53,,,,,480,490,10,4.6,1.2,LHS,10,OT,,HARD,10,,,,1,1,AT CH:485 HH1 & RI
54,,,,,490,500,10,3.5,1.2,LHS,10,OT,,HARD,10,,,,,,
55,,,,,500,510,10,2.8,1.4,LHS,10,OT,,NORMAL,,,,,,,
56,,,,,510,520,10,2.8,1.41,LHS,10,OT,,NORMAL,,,,,,,
57,,,,,520,530,10,2.9,1.42,LHS,10,OT,,NORMAL,,,,,,,
58,,,,,530,540,10,2.9,1.3,LHS,10,OT,,HARD,,,,,,,AT CH:538 CP
59,,,,,540,550,10,2.8,1.32,LHS,10,OT,,HARD,,,,,,,
60,,,,,550,560,10,2.9,1.3,LHS,10,OT,,HARD,,,,,,,
61,,,,,560,570,10,2.9,1.32,LHS,10,OT,,HARD,,,,,,,
62,,,,,570,580,10,2.9,1.3,LHS,10,OT,,HARD,,,,,,,
63,,,,,580,590,10,2.8,1.25,LHS,10,OT,,HARD,,,,,,,
64,,,,,590,600,10,2.9,1.2,LHS,10,OT,,HARD,10,,,,,,
65,,,,,600,610,10,2.8,1.22,LHS,10,OT,,HARD,,,,,,,
66,,,,,610,620,10,2.8,1.4,LHS,10,OT,,NORMAL,,,,,,,
67,,,,,620,625,5,2.8,1.4,LHS,5,OT,,NORMAL,,,,,,,CP @ 625
68,,,,,625,630,5,2.9,1.4,LHS,5,OT,EXTENSION,NORMAL,,5,,,,,CULVERT EXTENSION
